>> fem2d_leastsquares ( 17,17 )

FEM2D_LEASTSQUARES
  MATLAB version

  Seek U(x,y), the solution of the least squares equation:

  ( U(x,y) - W(x,y), V(x,y) ) = 0 inside the region,
    U(x,y)                    = W(x,y) on the boundary.

  The region is a rectangle, defined by:

  0.000000 = XL<= X <= XR = 1.000000
  0.000000 = YB<= Y <= YT = 1.000000

  A finite element formulation is used, with piecewise
  linear basis functions on 3 node triangular
  elements.

  The corner nodes of the triangles are generated by an
  underlying grid whose dimensions are

  NX = 17
  NY = 17
  Number of nodes = 289
  Number of elements = 512

     K     I     J    X         Y           U(x,y)          W(x,y)

     1     1     1  0.000000  0.000000    0.000000e+00    0.000000e+00
     2     2     1  0.062500  0.000000    6.250000e-02    6.250000e-02
     3     3     1  0.125000  0.000000    1.250000e-01    1.250000e-01
     4     4     1  0.187500  0.000000    1.875000e-01    1.875000e-01
     5     5     1  0.250000  0.000000    2.500000e-01    2.500000e-01
     6     6     1  0.312500  0.000000    3.125000e-01    3.125000e-01
     7     7     1  0.375000  0.000000    3.750000e-01    3.750000e-01
     8     8     1  0.437500  0.000000    4.375000e-01    4.375000e-01
     9     9     1  0.500000  0.000000    5.000000e-01    5.000000e-01
    10    10     1  0.562500  0.000000    5.625000e-01    5.625000e-01
    11    11     1  0.625000  0.000000    6.250000e-01    6.250000e-01
    12    12     1  0.687500  0.000000    6.875000e-01    6.875000e-01
    13    13     1  0.750000  0.000000    7.500000e-01    7.500000e-01
    14    14     1  0.812500  0.000000    8.125000e-01    8.125000e-01
    15    15     1  0.875000  0.000000    8.750000e-01    8.750000e-01
    16    16     1  0.937500  0.000000    9.375000e-01    9.375000e-01
    17    17     1  1.000000  0.000000    1.000000e+00    1.000000e+00

    18     1     2  0.000000  0.062500    0.000000e+00    0.000000e+00
    19     2     2  0.062500  0.062500    1.057896e-01    1.005602e-01
    20     3     2  0.125000  0.062500    2.035449e-01    1.996578e-01
    21     4     2  0.187500  0.062500    2.999509e-01    2.958864e-01
    22     5     2  0.250000  0.062500    3.916027e-01    3.879497e-01
