>> feynman_kac_3d
18-Aug-2012 10:56:28

FEYNMAN_KAC_3D:
  MATLAB version.

  Program parameters:

  The calculation takes place inside a 3D ellipsoid.
  A rectangular grid of points will be defined.
  The solution will be estimated for those grid points
  that lie inside the ellipsoid.

  Each solution will be estimated by computing 10000 trajectories
  from the point to the boundary.

    (X/A)^2 + (Y/B)^2 + (Z/C)^2 = 1

  The ellipsoid parameters A, B, C are set to:

    A = 3.000000
    B = 2.000000
    C = 1.000000
  Stepsize H = 0.001000

  X coordinate marked by 16 points
  Y coordinate marked by 11 points
  Z coordinate marked by 6 points

     X       Y        Z     W approx   W exact     Error  Ave Steps

     -3.000000     -2.000000     -1.000000      1.000000      1.000000      0.000000         0
     -3.000000     -2.000000     -0.600000      1.000000      1.000000      0.000000         0
     -3.000000     -2.000000     -0.200000      1.000000      1.000000      0.000000         0
     -3.000000     -2.000000      0.200000      1.000000      1.000000      0.000000         0
     -3.000000     -2.000000      0.600000      1.000000      1.000000      0.000000         0
     -3.000000     -2.000000      1.000000      1.000000      1.000000      0.000000         0
     -3.000000     -1.600000     -1.000000      1.000000      1.000000      0.000000         0
     -3.000000     -1.600000     -0.600000      1.000000      1.000000      0.000000         0
     -3.000000     -1.600000     -0.200000      1.000000      1.000000      0.000000         0
     -3.000000     -1.600000      0.200000      1.000000      1.000000      0.000000         0
     -3.000000     -1.600000      0.600000      1.000000      1.000000      0.000000         0
     -3.000000     -1.600000      1.000000      1.000000      1.000000      0.000000         0
     -3.000000     -1.200000     -1.000000      1.000000      1.000000      0.000000         0
     -3.000000     -1.200000     -0.600000      1.000000      1.000000      0.000000         0
     -3.000000     -1.200000     -0.200000      1.000000      1.000000      0.000000         0
     -3.000000     -1.200000      0.200000      1.000000      1.000000      0.000000         0
     -3.000000     -1.200000      0.600000      1.000000      1.000000      0.000000         0
     -3.000000     -1.200000      1.000000      1.000000      1.000000      0.000000         0
     -3.000000     -0.800000     -1.000000      1.000000      1.000000      0.000000         0
     -3.000000     -0.800000     -0.600000      1.000000      1.000000      0.000000         0
     -3.000000     -0.800000     -0.200000      1.000000      1.000000      0.000000         0
     -3.000000     -0.800000      0.200000      1.000000      1.000000      0.000000         0
     -3.000000     -0.800000      0.600000      1.000000      1.000000      0.000000         0
     -3.000000     -0.800000      1.000000      1.000000      1.000000      0.000000         0
     -3.000000     -0.400000     -1.000000      1.000000      1.000000      0.000000         0
     -3.000000     -0.400000     -0.600000      1.000000      1.000000      0.000000         0
     -3.000000     -0.400000     -0.200000      1.000000      1.000000      0.000000         0
     -3.000000     -0.400000      0.200000      1.000000      1.000000      0.000000         0
     -3.000000     -0.400000      0.600000      1.000000      1.000000      0.000000         0
     -3.000000     -0.400000      1.000000      1.000000      1.000000      0.000000         0
     -3.000000      0.000000     -1.000000      1.000000      1.000000      0.000000         0
     -3.000000      0.000000     -0.600000      1.000000      1.000000      0.000000         0
     -3.000000      0.000000     -0.200000      1.000000      1.000000      0.000000         0
     -3.000000      0.000000      0.200000      1.000000      1.000000      0.000000         0
     -3.000000      0.000000      0.600000      1.000000      1.000000      0.000000         0
     -3.000000      0.000000      1.000000      1.000000      1.000000      0.000000         0
