>> gauss_seidel_poisson_1d
22-Nov-2011 13:09:15

GAUSS_SEIDEL_POISSON_1D:
  Use Gauss-Seidel iteration for the 1D Poisson equation.
  Enter K >= 0, the grid index, so that NK = 2^K + 1:  5

    Step    Residual      Change

       1       4.227    0.004128
       2       3.986    0.003892
       3       3.818    0.003728
       4       3.684    0.003598
       5       3.572    0.003489
       6       3.474    0.003393
       7       3.387    0.003308
       8       3.308     0.00323
       9       3.235    0.003159
      10       3.168    0.003094
      11       3.105    0.003033
      12       3.047    0.002975
      13       2.991    0.002921
      14       2.939     0.00287
      15        2.89    0.002822
      16       2.843    0.002776
      17       2.798    0.002732
      18       2.754     0.00269
      19       2.713     0.00265
      20       2.673    0.002611
      21       2.635    0.002574
      22       2.598    0.002538
      23       2.563    0.002503
      24       2.528    0.002469
      25       2.495    0.002437
      26       2.463    0.002405
      27       2.432    0.002375
      28       2.401    0.002345
      29       2.372    0.002316
      30       2.343    0.002288
      31       2.315    0.002261
      32       2.287    0.002234
      33       2.261    0.002208
      34       2.235    0.002182
      35       2.209    0.002157
      36       2.184    0.002133
      37        2.16    0.002109
      38       2.136    0.002086
      39       2.113    0.002063
      40        2.09    0.002041
      41       2.067    0.002019
      42       2.045    0.001997
      43       2.023    0.001976
      44       2.002    0.001955
      45       1.981    0.001935
      46       1.961    0.001915
      47       1.941    0.001895
      48       1.921    0.001876
      49       1.901    0.001857
      50       1.882    0.001838
      51       1.863    0.001819
      52       1.844    0.001801
      53       1.826    0.001783
      54       1.808    0.001765
      55        1.79    0.001748
      56       1.772    0.001731
      57       1.755    0.001714
      58       1.737    0.001697
      59        1.72     0.00168
      60       1.704    0.001664
      61       1.687    0.001648
      62       1.671    0.001632
      63       1.654    0.001616
      64       1.638      0.0016
      65       1.623    0.001585
      66       1.607     0.00157
      67       1.592    0.001555
      68       1.576     0.00154
      69       1.561    0.001525
      70       1.546     0.00151
      71       1.531    0.001496
      72       1.517    0.001482
      73       1.502    0.001467
      74       1.488    0.001453
      75       1.474     0.00144
      76        1.46    0.001426
      77       1.446    0.001412
      78       1.432    0.001399
      79       1.419    0.001386
      80       1.405    0.001373
      81       1.392     0.00136
      82       1.379    0.001347
      83       1.366    0.001334
      84       1.353    0.001321
      85        1.34    0.001309
      86       1.327    0.001296
      87       1.315    0.001284
      88       1.302    0.001272
      89        1.29     0.00126
      90       1.278    0.001248
      91       1.265    0.001236
      92       1.253    0.001224
      93       1.242    0.001213
      94        1.23    0.001201
      95       1.218     0.00119
      96       1.207    0.001179
      97       1.195    0.001167
      98       1.184    0.001156
      99       1.173    0.001145
     100       1.161    0.001135
     101        1.15    0.001124
     102        1.14    0.001113
     103       1.129    0.001103
     104       1.118    0.001092
     105       1.107    0.001082
     106       1.097    0.001072
     107       1.087    0.001061
     108       1.076    0.001051
     109       1.066    0.001041
     110       1.056    0.001031
     111       1.046    0.001022
     112       1.036    0.001012
     113       1.026    0.001002
     114       1.016   0.0009928
     115       1.007   0.0009833
     116      0.9971    0.000974
     117      0.9876   0.0009647
     118      0.9782   0.0009556
     119      0.9689   0.0009465
     120      0.9597   0.0009375
     121      0.9505   0.0009285
     122      0.9415   0.0009197
     123      0.9325   0.0009109
     124      0.9236   0.0009023
     125      0.9148   0.0008937
