>> nint_exactness ( 'cc_d2_level4', 17 )
25-Dec-2009 17:51:20

NINT_EXACTNESS
  MATLAB version

  Investigate the polynomial exactness of a quadrature
  rule by integrating all monomials of a given degree
  over the [0,1] hypercube.

  The rule will be adjusted to the [0,1] hypercube.

NINT_EXACTNESS: User input:
  Quadrature rule X file = "cc_d2_level4_x.txt".
  Quadrature rule W file = "cc_d2_level4_w.txt".
  Quadrature rule R file = "cc_d2_level4_r.txt".
  Maximum total degree to check = 17
  Spatial dimension = 2
  Number of points  = 65

      Error    Degree  Exponents

        0.0000000000000002    0    0  0

        0.0000000000000002    1    1  0
        0.0000000000000002    1    0  1

        0.0000000000000004    2    2  0
        0.0000000000000004    2    1  1
        0.0000000000000002    2    0  2

        0.0000000000000002    3    3  0
        0.0000000000000004    3    2  1
        0.0000000000000004    3    1  2
        0.0000000000000004    3    0  3

        0.0000000000000002    4    4  0
        0.0000000000000002    4    3  1
        0.0000000000000004    4    2  2
        0.0000000000000004    4    1  3
        0.0000000000000002    4    0  4

        0.0000000000000002    5    5  0
        0.0000000000000002    5    4  1
        0.0000000000000004    5    3  2
        0.0000000000000004    5    2  3
        0.0000000000000002    5    1  4
        0.0000000000000002    5    0  5

        0.0000000000000004    6    6  0
        0.0000000000000004    6    5  1
        0.0000000000000004    6    4  2
        0.0000000000000002    6    3  3
        0.0000000000000002    6    2  4
        0.0000000000000004    6    1  5
        0.0000000000000002    6    0  6

        0.0000000000000002    7    7  0
        0.0000000000000000    7    6  1
        0.0000000000000002    7    5  2
        0.0000000000000004    7    4  3
        0.0000000000000002    7    3  4
        0.0000000000000004    7    2  5
        0.0000000000000004    7    1  6
        0.0000000000000000    7    0  7

        0.0000000000000002    8    8  0
        0.0000000000000002    8    7  1
        0.0000000000000002    8    6  2
        0.0000000000000004    8    5  3
        0.0000000000000004    8    4  4
        0.0000000000000002    8    3  5
        0.0000000000000002    8    2  6
        0.0000000000000004    8    1  7
        0.0000000000000002    8    0  8

        0.0000000000000002    9    9  0
        0.0000000000000004    9    8  1
        0.0000000000000002    9    7  2
        0.0000000000000002    9    6  3
        0.0000000000000002    9    5  4
        0.0000000000000002    9    4  5
        0.0000000000000002    9    3  6
        0.0000000000000004    9    2  7
        0.0000000000000004    9    1  8
        0.0000000000000002    9    0  9

        0.0000000000000002   10   10  0
        0.0000000000000004   10    9  1
        0.0000000000000007   10    8  2
        0.0000000000000002   10    7  3
        0.0000434027777780   10    6  4
        0.0000000000000002   10    5  5
        0.0000434027777783   10    4  6
        0.0000000000000002   10    3  7
        0.0000000000000002   10    2  8
        0.0000000000000004   10    1  9
        0.0000000000000002   10    0 10

        0.0000000000000009   11   11  0
        0.0000000000000004   11   10  1
        0.0000000000000007   11    9  2
        0.0000000000000002   11    8  3
        0.0001736111111110   11    7  4
        0.0001302083333334   11    6  5
        0.0001302083333337   11    5  6
        0.0001736111111112   11    4  7
        0.0000000000000002   11    3  8
        0.0000000000000004   11    2  9
        0.0000000000000004   11    1 10
        0.0000000000000004   11    0 11

        0.0000000000000000   12   12  0
        0.0000000000000007   12   11  1
        0.0000000968812000   12   10  2
        0.0000000000000002   12    9  3
        0.0004069010416670   12    8  4
        0.0005208333333333   12    7  5
        0.0005002170138888   12    6  6
        0.0005208333333335   12    5  7
        0.0004069010416667   12    4  8
        0.0000000000000000   12    3  9
        0.0000000968812002   12    2 10
        0.0000000000000004   12    1 11
        0.0000000000000004   12    0 12

        0.0000000000000011   13   13  0
        0.0000000000000004   13   12  1
        0.0000005812872020   13   11  2
        0.0000001937624007   13   10  3
        0.0007324218750002   13    9  4
        0.0012207031249998   13    8  5
        0.0013932291666667   13    7  6
        0.0013932291666672   13    6  7
        0.0012207031249998   13    5  8
        0.0007324218750002   13    4  9
        0.0000001937624007   13    3 10
        0.0000005812872019   13    2 11
        0.0000000000000007   13    1 12
        0.0000000000000007   13    0 13

        0.0000000000000007   14   14  0
        0.0000000000000011   14   13  1
        0.0000019981747577   14   12  2
        0.0000011625744046   14   11  3
        0.0011220861364296   14   10  4
        0.0021972656250000   14    9  5
        0.0028951009114588   14    8  6
        0.0031423611111112   14    7  7
        0.0028951009114584   14    6  8
        0.0021972656249998   14    5  9
        0.0011220861364296   14    4 10
        0.0000011625744046   14    3 11
        0.0000019981747577   14    2 12
        0.0000000000000009   14    1 13
        0.0000000000000004   14    0 14

        0.0000000000000004   15   15  0
        0.0000000000000011   15   14  1
        0.0000051710340705   15   13  2
        0.0000039963495161   15   12  3
        0.0015404595269102   15   11  4
        0.0033667428152901   15   10  5
        0.0049377441406253   15    9  6
        0.0058837890625001   15    8  7
        0.0058837890625001   15    7  8
        0.0049377441406253   15    6  9
        0.0033667428152901   15    5 10
        0.0015404595269102   15    4 11
        0.0000039963495161   15    3 12
        0.0000051710340707   15    2 13
        0.0000000000000009   15    1 14
        0.0000000000000007   15    0 15

        0.0000000000000007   16   16  0
        0.0000000000000009   16   15  1
        0.0000112056732173   16   14  2
        0.0000103420681419   16   13  3
        0.0019516203138565   16   12  4
        0.0046242850167413   16   11  5
        0.0073567567048247   16   10  6
        0.0094970703124999   16    9  7
        0.0103187561035158   16    8  8
        0.0094970703124999   16    7  9
        0.0073567567048252   16    6 10
        0.0046242850167411   16    5 11
        0.0019516203138563   16    4 12
        0.0000103420681424   16    3 13
        0.0000112056732171   16    2 14
        0.0000000000000009   16    1 15
        0.0000000000000009   16    0 16

        0.0000000000000007   17   17  0
        0.0000000000000007   17   16  1
        0.0000214894612625   17   15  2
        0.0000224113464353   17   14  3
        0.0023229881569191   17   13  4
        0.0058648518153599   17   12  5
        0.0099490525987411   17   11  6
        0.0137151082356768   17   10  7
        0.0160102844238283   17    9  8
        0.0160102844238279   17    8  9
        0.0137151082356770   17    7 10
        0.0099490525987416   17    6 11
        0.0058648518153601   17    5 12
        0.0023229881569193   17    4 13
        0.0000224113464351   17    3 14
        0.0000214894612625   17    2 15
        0.0000000000000009   17    1 16
        0.0000000000000009   17    0 17


NINT_EXACTNESS:
  Normal end of execution.

25-Dec-2009 17:51:21
>> 
