>> nint_exactness ( 'ccs_d2_level4', 17 )
25-Dec-2009 17:52:10

NINT_EXACTNESS
  MATLAB version

  Investigate the polynomial exactness of a quadrature
  rule by integrating all monomials of a given degree
  over the [0,1] hypercube.

  The rule will be adjusted to the [0,1] hypercube.

NINT_EXACTNESS: User input:
  Quadrature rule X file = "ccs_d2_level4_x.txt".
  Quadrature rule W file = "ccs_d2_level4_w.txt".
  Quadrature rule R file = "ccs_d2_level4_r.txt".
  Maximum total degree to check = 17
  Spatial dimension = 2
  Number of points  = 49

      Error    Degree  Exponents

        0.0000000000000002    0    0  0

        0.0000000000000002    1    1  0
        0.0000000000000002    1    0  1

        0.0000000000000004    2    2  0
        0.0000000000000002    2    1  1
        0.0000000000000004    2    0  2

        0.0000000000000002    3    3  0
        0.0000000000000002    3    2  1
        0.0000000000000002    3    1  2
        0.0000000000000002    3    0  3

        0.0000000000000002    4    4  0
        0.0000000000000000    4    3  1
        0.0000000000000002    4    2  2
        0.0000000000000002    4    1  3
        0.0000000000000002    4    0  4

        0.0000000000000004    5    5  0
        0.0000000000000000    5    4  1
        0.0000000000000004    5    3  2
        0.0000000000000004    5    2  3
        0.0000000000000000    5    1  4
        0.0000000000000002    5    0  5

        0.0000000000000002    6    6  0
        0.0000000000000002    6    5  1
        0.0000000000000002    6    4  2
        0.0000000000000002    6    3  3
        0.0000000000000002    6    2  4
        0.0000000000000002    6    1  5
        0.0000000000000002    6    0  6

        0.0000000000000000    7    7  0
        0.0000000000000002    7    6  1
        0.0000000000000004    7    5  2
        0.0000000000000002    7    4  3
        0.0000000000000002    7    3  4
        0.0000000000000002    7    2  5
        0.0000000000000002    7    1  6
        0.0000000000000004    7    0  7

        0.0000000000000000    8    8  0
        0.0000000000000000    8    7  1
        0.0000000000000000    8    6  2
        0.0000000000000000    8    5  3
        0.0000000000000002    8    4  4
        0.0000000000000000    8    3  5
        0.0000000000000002    8    2  6
        0.0000000000000000    8    1  7
        0.0000000000000000    8    0  8

        0.0000000000000002    9    9  0
        0.0000000000000002    9    8  1
        0.0000000000000002    9    7  2
        0.0000000000000004    9    6  3
        0.0000000000000000    9    5  4
        0.0000000000000000    9    4  5
        0.0000000000000002    9    3  6
        0.0000000000000000    9    2  7
        0.0000000000000002    9    1  8
        0.0000000000000002    9    0  9

        0.0000003875248015   10   10  0
        0.0000000000000000   10    9  1
        0.0000000000000000   10    8  2
        0.0000000000000002   10    7  3
        0.0000434027777778   10    6  4
        0.0000000000000000   10    5  5
        0.0000434027777780   10    4  6
        0.0000000000000000   10    3  7
        0.0000000000000004   10    2  8
        0.0000000000000000   10    1  9
        0.0000003875248016   10    0 10

        0.0000023251488095   11   11  0
        0.0000003875248015   11   10  1
        0.0000000000000000   11    9  2
        0.0000000000000002   11    8  3
        0.0001736111111110   11    7  4
        0.0001302083333334   11    6  5
        0.0001302083333337   11    5  6
        0.0001736111111115   11    4  7
        0.0000000000000000   11    3  8
        0.0000000000000000   11    2  9
        0.0000003875248015   11    1 10
        0.0000023251488097   11    0 11

        0.0000079926990328   12   12  0
        0.0000023251488095   12   11  1
        0.0000003875248016   12   10  2
        0.0000000000000000   12    9  3
        0.0004069010416667   12    8  4
        0.0005208333333335   12    7  5
        0.0005002170138890   12    6  6
        0.0005208333333335   12    5  7
        0.0004069010416665   12    4  8
        0.0000000000000002   12    3  9
        0.0000003875248014   12    2 10
        0.0000023251488092   12    1 11
        0.0000079926990326   12    0 12

        0.0000206841362846   13   13  0
        0.0000079926990328   13   12  1
        0.0000023251488095   13   11  2
        0.0000003875248018   13   10  3
        0.0007324218750000   13    9  4
        0.0012207031250000   13    8  5
        0.0013932291666670   13    7  6
        0.0013932291666670   13    6  7
        0.0012207031249996   13    5  8
        0.0007324218750002   13    4  9
        0.0000003875248016   13    3 10
        0.0000023251488095   13    2 11
        0.0000079926990324   13    1 12
        0.0000206841362846   13    0 13

        0.0000448226928711   14   14  0
        0.0000206841362846   14   13  1
        0.0000079926990328   14   12  2
        0.0000023251488095   14   11  3
        0.0011219650349288   14   10  4
        0.0021972656249998   14    9  5
        0.0028951009114584   14    8  6
        0.0031423611111117   14    7  7
        0.0028951009114584   14    6  8
        0.0021972656250002   14    5  9
        0.0011219650349290   14    4 10
        0.0000023251488095   14    3 11
        0.0000079926990326   14    2 12
        0.0000206841362844   14    1 13
        0.0000448226928711   14    0 14

        0.0000859578450522   15   15  0
        0.0000448226928709   15   14  1
        0.0000206841362848   15   13  2
        0.0000079926990328   15   12  3
        0.0015397329179068   15   11  4
        0.0033666701543895   15   10  5
        0.0049377441406249   15    9  6
        0.0058837890625001   15    8  7
        0.0058837890625003   15    7  8
        0.0049377441406249   15    6  9
        0.0033666701543897   15    5 10
        0.0015397329179070   15    4 11
        0.0000079926990326   15    3 12
        0.0000206841362845   15    2 13
        0.0000448226928706   15    1 14
        0.0000859578450517   15    0 15

        0.0001507679621380   16   16  0
        0.0000859578450521   16   15  1
        0.0000448226928711   16   14  2
        0.0000206841362846   16   13  3
        0.0019491225954085   16   12  4
        0.0046238490513393   16   11  5
        0.0073567143192996   16   10  6
        0.0094970703124999   16    9  7
        0.0103187561035156   16    8  8
        0.0094970703124997   16    7  9
        0.0073567143192996   16    6 10
        0.0046238490513393   16    5 11
        0.0019491225954087   16    4 12
        0.0000206841362846   16    3 13
        0.0000448226928711   16    2 14
        0.0000859578450518   16    1 15
        0.0001507679621373   16    0 16

        0.0002470527376446   17   17  0
        0.0001507679621376   17   16  1
        0.0000859578450521   17   15  2
        0.0000448226928711   17   14  3
        0.0023165243643299   17   13  4
        0.0058633531842909   17   12  5
        0.0099487982855901   17   11  6
        0.0137150840153768   17   10  7
        0.0160102844238279   17    9  8
        0.0160102844238277   17    8  9
        0.0137150840153768   17    7 10
        0.0099487982855901   17    6 11
        0.0058633531842913   17    5 12
        0.0023165243643304   17    4 13
        0.0000448226928713   17    3 14
        0.0000859578450514   17    2 15
        0.0001507679621374   17    1 16
        0.0002470527376446   17    0 17


NINT_EXACTNESS:
  Normal end of execution.

25-Dec-2009 17:52:10
>> 
