>> cd ../jacobi_poisson_1d
>> jacobi_poisson_1d
22-Nov-2011 13:09:57

JACOBI_POISSON_1D:
  Use Jacobi iteration for the 1D Poisson equation.
  Enter K >= 0, the grid index, so that NK = 2^K + 1:  5

    Step    Residual      Change

       1       4.296    0.002227
       2       4.149    0.002098
       3       4.036    0.002026
       4       3.943    0.001971
       5       3.862    0.001925
       6        3.79    0.001886
       7       3.724     0.00185
       8       3.664    0.001818
       9       3.608    0.001789
      10       3.556    0.001762
      11       3.507    0.001736
      12       3.461    0.001712
      13       3.417     0.00169
      14       3.375    0.001669
      15       3.336    0.001648
      16       3.298    0.001629
      17       3.261     0.00161
      18       3.226    0.001592
      19       3.192    0.001575
      20       3.159    0.001559
      21       3.128    0.001543
      22       3.097    0.001527
      23       3.068    0.001512
      24       3.039    0.001498
      25       3.011    0.001484
      26       2.984     0.00147
      27       2.957    0.001457
      28       2.932    0.001444
      29       2.907    0.001431
      30       2.882    0.001419
      31       2.858    0.001407
      32       2.835    0.001396
      33       2.812    0.001384
      34        2.79    0.001373
      35       2.768    0.001362
      36       2.746    0.001351
      37       2.725    0.001341
      38       2.705    0.001331
      39       2.685    0.001321
      40       2.665    0.001311
      41       2.646    0.001301
      42       2.626    0.001292
      43       2.608    0.001282
      44       2.589    0.001273
      45       2.571    0.001264
      46       2.553    0.001255
      47       2.536    0.001247
      48       2.519    0.001238
      49       2.502     0.00123
      50       2.485    0.001222
      51       2.469    0.001213
      52       2.452    0.001205
      53       2.436    0.001197
      54       2.421     0.00119
      55       2.405    0.001182
      56        2.39    0.001174
      57       2.375    0.001167
      58        2.36    0.001159
      59       2.345    0.001152
      60        2.33    0.001145
      61       2.316    0.001138
      62       2.302    0.001131
      63       2.288    0.001124
      64       2.274    0.001117
      65       2.261     0.00111
      66       2.247    0.001104
      67       2.234    0.001097
      68        2.22    0.001091
      69       2.207    0.001084
      70       2.195    0.001078
      71       2.182    0.001072
      72       2.169    0.001065
      73       2.157    0.001059
      74       2.144    0.001053
      75       2.132    0.001047
      76        2.12    0.001041
      77       2.108    0.001035
      78       2.096    0.001029
      79       2.084    0.001023
      80       2.073    0.001018
      81       2.061    0.001012
      82        2.05    0.001006
      83       2.038    0.001001
      84       2.027   0.0009953
      85       2.016   0.0009898
      86       2.005   0.0009844
      87       1.994    0.000979
      88       1.983   0.0009737
      89       1.973   0.0009684
      90       1.962   0.0009632
      91       1.951    0.000958
      92       1.941   0.0009528
      93       1.931   0.0009477
      94        1.92   0.0009427
      95        1.91   0.0009376
      96         1.9   0.0009326
      97        1.89   0.0009277
      98        1.88   0.0009228
      99        1.87   0.0009179
     100        1.86   0.0009131
     101        1.85   0.0009083
     102       1.841   0.0009035
     103       1.831   0.0008988
     104       1.822   0.0008941
     105       1.812   0.0008895
     106       1.803   0.0008849
     107       1.794   0.0008803
     108       1.784   0.0008757
     109       1.775   0.0008712
     110       1.766   0.0008667
     111       1.757   0.0008623
     112       1.748   0.0008579
     113       1.739   0.0008535
     114        1.73   0.0008491
     115       1.721   0.0008448
     116       1.712   0.0008405
     117       1.704   0.0008362
     118       1.695   0.0008319
     119       1.687   0.0008277
     120       1.678   0.0008235
     121        1.67   0.0008193
     122       1.661   0.0008152
     123       1.653   0.0008111
     124       1.644    0.000807
     125       1.636   0.0008029
     126       1.628   0.0007989
     127        1.62   0.0007949
     128       1.612   0.0007909
     129       1.604   0.0007869
     130       1.596    0.000783
     131       1.588   0.0007791
     132        1.58   0.0007752
     133       1.572   0.0007713
     134       1.564   0.0007675
     135       1.556   0.0007637
     136       1.548   0.0007599
     137       1.541   0.0007561
     138       1.533   0.0007523
     139       1.526   0.0007486
     140       1.518   0.0007449
     141       1.511   0.0007412
     142       1.503   0.0007376
     143       1.496   0.0007339
     144       1.488   0.0007303
     145       1.481   0.0007267
     146       1.474   0.0007231
     147       1.466   0.0007195
     148       1.459    0.000716
     149       1.452   0.0007125
     150       1.445   0.0007089
     151       1.438   0.0007055
     152       1.431    0.000702
     153       1.424   0.0006985
     154       1.417   0.0006951
     155        1.41   0.0006917
     156       1.403   0.0006883
     157       1.396   0.0006849
     158       1.389   0.0006816
     159       1.382   0.0006782
     160       1.375   0.0006749
     161       1.369   0.0006716
     162       1.362   0.0006683
     163       1.355   0.0006651
     164       1.349   0.0006618
     165       1.342   0.0006586
     166       1.336   0.0006554
     167       1.329   0.0006522
     168       1.323    0.000649
     169       1.316   0.0006458
     170        1.31   0.0006427
     171       1.303   0.0006396
     172       1.297   0.0006364
     173       1.291   0.0006333
     174       1.284   0.0006303
     175       1.278   0.0006272
     176       1.272   0.0006241
     177       1.266   0.0006211
     178        1.26   0.0006181
     179       1.254   0.0006151
     180       1.247   0.0006121
     181       1.241   0.0006091
     182       1.235   0.0006062
     183       1.229   0.0006032
     184       1.223   0.0006003
     185       1.217   0.0005974
     186       1.212   0.0005945
     187       1.206   0.0005916
     188         1.2   0.0005887
