>> optimal_control_1d_driver
29-Nov-2011 15:10:39

OPTIMAL_CONTROL_1D_DRIVER:

  Step         ||Grad||        J               J Delta         Q Delta

     0      0.00969465      0.00180334
     1      0.00969448      0.00180332     1.02048e-05           0.001
     2      0.00969421       0.0018033     1.53069e-05          0.0015
     3      0.00969381      0.00180325       2.296e-05         0.00225
     4      0.00969321      0.00180319     3.44389e-05        0.003375
     5      0.00969232       0.0018031     5.16562e-05       0.0050625
     6      0.00969097      0.00180296     7.74792e-05      0.00759375
     7      0.00968895      0.00180275     0.000116207       0.0113906
     8      0.00968593      0.00180244     0.000174285       0.0170859
     9       0.0096814      0.00180197      0.00026137       0.0256289
    10      0.00967461      0.00180126     0.000391925       0.0384434
    11      0.00966444       0.0018002     0.000587595        0.057665
    12      0.00964923      0.00179862     0.000880737       0.0864976
    13      0.00962651      0.00179625      0.00131963        0.129746
    14      0.00959262       0.0017927      0.00197616         0.19462
    15      0.00954224      0.00178742      0.00295687        0.291929
    16      0.00946766      0.00177956      0.00441891        0.437894
    17      0.00935794       0.0017679      0.00659204        0.656841
    18      0.00919804      0.00175073      0.00980819        0.985261
    19      0.00896814      0.00172564       0.0145385         1.47789
    20      0.00864383      0.00168943       0.0214357         2.21684
    21      0.00819837      0.00163804       0.0313739         3.32526
    22      0.00760793      0.00156678       0.0454761         4.98789
    23      0.00686057      0.00147099       0.0651197         7.48183
    24      0.00596649      0.00134714        0.091937         11.2227
    25      0.00496467      0.00119439        0.127888         16.8341
    26      0.00391984      0.00101601        0.175567         25.2512
    27      0.00290898     0.000820018        0.239016         37.8768
    28      0.00200318     0.000618669        0.325455         56.8151
    29      0.00125404     0.000427093        0.448556         85.2227
    30     0.000690884      0.00026163        0.632433         127.834
    31     0.000329851     0.000138417        0.890159         191.751
    32     0.000177979     7.04694e-05        0.964213         287.627
    33     0.000141151     5.02179e-05        0.403271          431.44
    34     0.000107377     4.54991e-05        0.103713          647.16
    35     7.04973e-05      3.7532e-05        0.212275          970.74
    36     4.03621e-05     3.46707e-05       0.0825266         1456.11
    38     3.86357e-05      3.0743e-05        0.127759         1092.08
    41     2.38774e-05      3.0048e-05       0.0231295         409.531
    42     2.08903e-05     2.90654e-05       0.0338092         614.296
    43     1.75162e-05     2.78622e-05       0.0431807         921.444
    44     1.42214e-05     2.61434e-05       0.0657461         1382.17
    45     1.26658e-05     2.42671e-05       0.0773195         2073.25
    47     1.98048e-05     2.31083e-05       0.0501465         1554.94
    50     1.23894e-05     2.25444e-05       0.0250118         583.102
    51     1.31387e-05     2.15729e-05       0.0450317         874.652
    53     1.05772e-05     2.13029e-05       0.0126782         655.989
    54      1.2312e-05     2.04481e-05       0.0418008         983.984
    56     1.11031e-05     2.03044e-05      0.00708034         737.988
    57     1.61885e-05     1.96616e-05       0.0326896         1106.98
    60     6.93236e-06     1.90335e-05       0.0330012         415.118
    61     6.67947e-06     1.86784e-05       0.0190116         622.677
    62     6.36505e-06     1.82244e-05       0.0249128         934.016
    63     6.04696e-06     1.75262e-05       0.0398389         1401.02
    64     7.70407e-06     1.68978e-05        0.037184         2101.54
    66     1.71825e-05     1.68142e-05      0.00497223         1576.15
    69     9.42843e-06     1.63164e-05       0.0305108         591.057
    70      1.1036e-05     1.57793e-05         0.03404         886.585
    72     8.20121e-06     1.57222e-05      0.00362908         664.939
    73     1.11785e-05     1.53097e-05       0.0269456         997.409
    76     4.51225e-06     1.49608e-05        0.023318         374.028
    77     4.40718e-06     1.48254e-05      0.00913507         561.042
    78     4.30567e-06     1.45906e-05       0.0160939         841.563
    79     4.19738e-06     1.42946e-05       0.0207027         1262.35
    80     4.57773e-06     1.38069e-05       0.0353269         1893.52
    83     4.30112e-06      1.3744e-05      0.00457347         710.069
    84     4.89104e-06     1.34413e-05       0.0225247          1065.1
    86     4.87475e-06     1.34361e-05     0.000387007         798.828
    87     7.29263e-06     1.31435e-05       0.0222625         1198.24
    90     3.72079e-06      1.3035e-05      0.00831799         449.341
    91     3.62754e-06      1.2883e-05       0.0118004         674.011
    92     3.63043e-06     1.27543e-05       0.0100873         1011.02
    93     4.28358e-06     1.24608e-05       0.0235563         1516.52
    96     3.56893e-06     1.24389e-05      0.00176078         568.697
    97       3.582e-06      1.2259e-05       0.0146739         853.045
    98     4.36114e-06     1.22232e-05       0.0029288         1279.57
   100     5.21345e-06     1.19721e-05       0.0209769         959.676
   103     3.22782e-06     1.19264e-05      0.00383481         359.878
   104     3.18206e-06     1.18721e-05      0.00457373         539.818
   105     3.14372e-06     1.17674e-05      0.00889286         809.726
   106     3.09836e-06     1.16379e-05       0.0111277         1214.59
   107     3.18676e-06     1.14086e-05       0.0200963         1821.88
   109     3.93638e-06     1.13978e-05     0.000950968         1366.41
   111     5.05563e-06     1.11864e-05       0.0188947         1024.81
   114     2.89103e-06     1.11516e-05      0.00312096         384.304
   115     2.86595e-06     1.11036e-05      0.00432382         576.456
   116     2.83251e-06     1.10229e-05       0.0073266         864.683
   117     2.78665e-06      1.0917e-05      0.00969614         1297.03
   118      2.7796e-06     1.07395e-05       0.0165322         1945.54
   119     4.72025e-06      1.0737e-05     0.000232937         2918.31
   122     7.38208e-06     1.05809e-05       0.0147512         1094.36
   125     2.56614e-06     1.04388e-05       0.0136134         410.387
   126     2.53859e-06      1.0389e-05      0.00479298          615.58
   127     2.51104e-06      1.0339e-05      0.00483595          923.37
   128     2.49723e-06     1.02394e-05      0.00972029         1385.06
   129     2.99815e-06     1.02015e-05      0.00371707         2077.58
   131     5.77437e-06     1.00878e-05       0.0112774         1558.19
   135     2.72374e-06     1.00062e-05       0.0081505          292.16
   137     2.41525e-06      1.0006e-05     1.61683e-05          219.12
   138     2.32593e-06     1.00014e-05     0.000466524          328.68
   139     2.30916e-06     9.98056e-06      0.00208634          493.02
   140      2.2876e-06     9.94321e-06      0.00375599          739.53
   141     2.25591e-06      9.8925e-06      0.00512592          1109.3
   142      2.2122e-06     9.81241e-06      0.00816203         1663.94
   143     2.24615e-06      9.7325e-06       0.0082106         2495.92
   144     6.11429e-06     9.63586e-06       0.0100291         3743.87
   149     2.13881e-06     9.53752e-06       0.0103108         350.988
   153     2.10493e-06     9.53748e-06      4.2046e-06         65.8103
   154     2.06979e-06     9.53713e-06     3.73035e-05         98.7154
   155     2.03999e-06     9.53582e-06      0.00013761         148.073
   156     2.02064e-06     9.53212e-06      0.00038777          222.11
   157     2.00905e-06     9.52363e-06     0.000891794         333.164
   158     1.99651e-06     9.50772e-06      0.00167264         499.747
   159     1.97795e-06     9.48308e-06      0.00259869          749.62
   160     1.95042e-06      9.4479e-06      0.00372307         1124.43
   161     1.90988e-06     9.39594e-06      0.00553079         1686.65
   162     1.85519e-06     9.32922e-06      0.00715187         2529.97
   163     2.12164e-06     9.20388e-06       0.0136179         3794.95
   200     2.12164e-06     9.20388e-06      1.4191e-13     8.28357e-08

OPTIMAL_CONTROL_1D_DRIVER:
  The gradient iteration has converged at iteration 200

OPTIMAL_CONTROL_1D_DRIVER:
  Normal end of execution.

29-Nov-2011 15:11:22
>> 
