           1             2             3  
           6             5             8  
           7             3             2  
           4             8             5  
           8             4             3  
           6             2             1  
           1             3             4  
           6             8             7  
           7             2             6  
           4             5             1  
           8             3             7  
           6             1             5  
