04-Jul-2007 21:04:14

NINT_EXACTNESS_TET
  MATLAB version

  Investigate the polynomial exactness of a quadrature
  rule for the tetrahedron by integrating all monomials
  of a given degree.

  The rule will be adjusted to the unit tetrahedron.

NINT_EXACTNESS_TET: User input:
  Quadrature rule X file = "keast7_x.txt".
  Quadrature rule W file = "keast7_w.txt".
  Quadrature rule R file = "keast7_r.txt".
  Maximum total degree to check = 9
  Spatial dimension = 3
  Number of points  = 24

      Error    Degree  Exponents

        0.000000    0   0 0 0

        0.000000    1   1 0 0
        0.000000    1   0 1 0
        0.000000    1   0 0 1

        0.000000    2   2 0 0
        0.000000    2   1 1 0
        0.000000    2   0 2 0
        0.000000    2   1 0 1
        0.000000    2   0 1 1
        0.000000    2   0 0 2

        0.000000    3   3 0 0
        0.000000    3   2 1 0
        0.000000    3   1 2 0
        0.000000    3   0 3 0
        0.000000    3   2 0 1
        0.000000    3   1 1 1
        0.000000    3   0 2 1
        0.000000    3   1 0 2
        0.000000    3   0 1 2
        0.000000    3   0 0 3

        0.000000    4   4 0 0
        0.000000    4   3 1 0
        0.000000    4   2 2 0
        0.000000    4   1 3 0
        0.000000    4   0 4 0
        0.000000    4   3 0 1
        0.000000    4   2 1 1
        0.000000    4   1 2 1
        0.000000    4   0 3 1
        0.000000    4   2 0 2
        0.000000    4   1 1 2
        0.000000    4   0 2 2
        0.000000    4   1 0 3
        0.000000    4   0 1 3
        0.000000    4   0 0 4

        0.000000    5   5 0 0
        0.000000    5   4 1 0
        0.000000    5   3 2 0
        0.000000    5   2 3 0
        0.000000    5   1 4 0
        0.000000    5   0 5 0
        0.000000    5   4 0 1
        0.000000    5   3 1 1
        0.000000    5   2 2 1
        0.000000    5   1 3 1
        0.000000    5   0 4 1
        0.000000    5   3 0 2
        0.000000    5   2 1 2
        0.000000    5   1 2 2
        0.000000    5   0 3 2
        0.000000    5   2 0 3
        0.000000    5   1 1 3
        0.000000    5   0 2 3
        0.000000    5   1 0 4
        0.000000    5   0 1 4
        0.000000    5   0 0 5

        0.000000    6   6 0 0
        0.000000    6   5 1 0
        0.000000    6   4 2 0
        0.000000    6   3 3 0
        0.000000    6   2 4 0
        0.000000    6   1 5 0
        0.000000    6   0 6 0
        0.000000    6   5 0 1
        0.000000    6   4 1 1
        0.000000    6   3 2 1
        0.000000    6   2 3 1
        0.000000    6   1 4 1
        0.000000    6   0 5 1
        0.000000    6   4 0 2
        0.000000    6   3 1 2
        0.000000    6   2 2 2
        0.000000    6   1 3 2
        0.000000    6   0 4 2
        0.000000    6   3 0 3
        0.000000    6   2 1 3
        0.000000    6   1 2 3
        0.000000    6   0 3 3
        0.000000    6   2 0 4
        0.000000    6   1 1 4
        0.000000    6   0 2 4
        0.000000    6   1 0 5
        0.000000    6   0 1 5
        0.000000    6   0 0 6

        0.002281    7   7 0 0
        0.005322    7   6 1 0
        0.007417    7   5 2 0
        0.004376    7   4 3 0
        0.004376    7   3 4 0
        0.007417    7   2 5 0
        0.005322    7   1 6 0
        0.002281    7   0 7 0
        0.005322    7   6 0 1
        0.008548    7   5 1 1
        0.011979    7   4 2 1
        0.017505    7   3 3 1
        0.011979    7   2 4 1
        0.008548    7   1 5 1
        0.005322    7   0 6 1
        0.007417    7   5 0 2
        0.011979    7   4 1 2
        0.000575    7   3 2 2
        0.000575    7   2 3 2
        0.011979    7   1 4 2
        0.007417    7   0 5 2
        0.004376    7   4 0 3
        0.017505    7   3 1 3
        0.000575    7   2 2 3
        0.017505    7   1 3 3
        0.004376    7   0 4 3
        0.004376    7   3 0 4
        0.011979    7   2 1 4
        0.011979    7   1 2 4
        0.004376    7   0 3 4
        0.007417    7   2 0 5
        0.008548    7   1 1 5
        0.007417    7   0 2 5
        0.005322    7   1 0 6
        0.005322    7   0 1 6
        0.002281    7   0 0 7

        0.009940    8   8 0 0
        0.018142    8   7 1 0
        0.013943    8   6 2 0
        0.009136    8   5 3 0
        0.031122    8   4 4 0
        0.009136    8   3 5 0
        0.013943    8   2 6 0
        0.018142    8   1 7 0
        0.009940    8   0 8 0
        0.018142    8   7 0 1
        0.020285    8   6 1 1
        0.014738    8   5 2 1
        0.015334    8   4 3 1
        0.015334    8   3 4 1
        0.014738    8   2 5 1
        0.020285    8   1 6 1
        0.018142    8   0 7 1
        0.013943    8   6 0 2
        0.014738    8   5 1 2
        0.043751    8   4 2 2
        0.028534    8   3 3 2
        0.043751    8   2 4 2
        0.014738    8   1 5 2
        0.013943    8   0 6 2
        0.009136    8   5 0 3
        0.015334    8   4 1 3
        0.028534    8   3 2 3
        0.028534    8   2 3 3
        0.015334    8   1 4 3
        0.009136    8   0 5 3
        0.031122    8   4 0 4
        0.015334    8   3 1 4
        0.043751    8   2 2 4
        0.015334    8   1 3 4
        0.031122    8   0 4 4
        0.009136    8   3 0 5
        0.014738    8   2 1 5
        0.014738    8   1 2 5
        0.009136    8   0 3 5
        0.013943    8   2 0 6
        0.020285    8   1 1 6
        0.013943    8   0 2 6
        0.018142    8   1 0 7
        0.018142    8   0 1 7
        0.009940    8   0 0 8

        0.025139    9   9 0 0
        0.035659    9   8 1 0
        0.007758    9   7 2 0
        0.039732    9   6 3 0
        0.041077    9   5 4 0
        0.041077    9   4 5 0
        0.039732    9   3 6 0
        0.007758    9   2 7 0
        0.035659    9   1 8 0
        0.025139    9   0 9 0
        0.035659    9   8 0 1
        0.026021    9   7 1 1
        0.003091    9   6 2 1
        0.017774    9   5 3 1
        0.018655    9   4 4 1
        0.017774    9   3 5 1
        0.003091    9   2 6 1
        0.026021    9   1 7 1
        0.035659    9   0 8 1
        0.007758    9   7 0 2
        0.003091    9   6 1 2
        0.100280    9   5 2 2
        0.003688    9   4 3 2
        0.003688    9   3 4 2
        0.100280    9   2 5 2
        0.003091    9   1 6 2
        0.007758    9   0 7 2
        0.039732    9   6 0 3
        0.017774    9   5 1 3
        0.003688    9   4 2 3
        0.100239    9   3 3 3
        0.003688    9   2 4 3
        0.017774    9   1 5 3
        0.039732    9   0 6 3
        0.041077    9   5 0 4
        0.018655    9   4 1 4
        0.003688    9   3 2 4
        0.003688    9   2 3 4
        0.018655    9   1 4 4
        0.041077    9   0 5 4
        0.041077    9   4 0 5
        0.017774    9   3 1 5
        0.100280    9   2 2 5
        0.017774    9   1 3 5
        0.041077    9   0 4 5
        0.039732    9   3 0 6
        0.003091    9   2 1 6
        0.003091    9   1 2 6
        0.039732    9   0 3 6
        0.007758    9   2 0 7
        0.026021    9   1 1 7
        0.007758    9   0 2 7
        0.035659    9   1 0 8
        0.035659    9   0 1 8
        0.025139    9   0 0 9


NINT_EXACTNESS_TET:
  Normal end of execution.

04-Jul-2007 21:04:15
