04-Jul-2007 21:06:00

NINT_EXACTNESS_TET
  MATLAB version

  Investigate the polynomial exactness of a quadrature
  rule for the tetrahedron by integrating all monomials
  of a given degree.

  The rule will be adjusted to the unit tetrahedron.

NINT_EXACTNESS_TET: User input:
  Quadrature rule X file = "ncc5_x.txt".
  Quadrature rule W file = "ncc5_w.txt".
  Quadrature rule R file = "ncc5_r.txt".
  Maximum total degree to check = 8
  Spatial dimension = 3
  Number of points  = 56

      Error    Degree  Exponents

        0.000000    0   0 0 0

        0.000000    1   1 0 0
        0.000000    1   0 1 0
        0.000000    1   0 0 1

        0.000000    2   2 0 0
        0.000000    2   1 1 0
        0.000000    2   0 2 0
        0.000000    2   1 0 1
        0.000000    2   0 1 1
        0.000000    2   0 0 2

        0.000000    3   3 0 0
        0.000000    3   2 1 0
        0.000000    3   1 2 0
        0.000000    3   0 3 0
        0.000000    3   2 0 1
        0.000000    3   1 1 1
        0.000000    3   0 2 1
        0.000000    3   1 0 2
        0.000000    3   0 1 2
        0.000000    3   0 0 3

        0.000000    4   4 0 0
        0.000000    4   3 1 0
        0.000000    4   2 2 0
        0.000000    4   1 3 0
        0.000000    4   0 4 0
        0.000000    4   3 0 1
        0.000000    4   2 1 1
        0.000000    4   1 2 1
        0.000000    4   0 3 1
        0.000000    4   2 0 2
        0.000000    4   1 1 2
        0.000000    4   0 2 2
        0.000000    4   1 0 3
        0.000000    4   0 1 3
        0.000000    4   0 0 4

        0.000000    5   5 0 0
        0.000000    5   4 1 0
        0.000000    5   3 2 0
        0.000000    5   2 3 0
        0.000000    5   1 4 0
        0.000000    5   0 5 0
        0.000000    5   4 0 1
        0.000000    5   3 1 1
        0.000000    5   2 2 1
        0.000000    5   1 3 1
        0.000000    5   0 4 1
        0.000000    5   3 0 2
        0.000000    5   2 1 2
        0.000000    5   1 2 2
        0.000000    5   0 3 2
        0.000000    5   2 0 3
        0.000000    5   1 1 3
        0.000000    5   0 2 3
        0.000000    5   1 0 4
        0.000000    5   0 1 4
        0.000000    5   0 0 5

        0.023840    6   6 0 0
        0.047680    6   5 1 0
        0.051200    6   4 2 0
        0.049600    6   3 3 0
        0.051200    6   2 4 0
        0.047680    6   1 5 0
        0.023840    6   0 6 0
        0.047680    6   5 0 1
        0.068000    6   4 1 1
        0.028000    6   3 2 1
        0.028000    6   2 3 1
        0.068000    6   1 4 1
        0.047680    6   0 5 1
        0.051200    6   4 0 2
        0.028000    6   3 1 2
        0.044000    6   2 2 2
        0.028000    6   1 3 2
        0.051200    6   0 4 2
        0.049600    6   3 0 3
        0.028000    6   2 1 3
        0.028000    6   1 2 3
        0.049600    6   0 3 3
        0.051200    6   2 0 4
        0.068000    6   1 1 4
        0.051200    6   0 2 4
        0.047680    6   1 0 5
        0.047680    6   0 1 5
        0.023840    6   0 0 6

        0.104000    7   7 0 0
        0.163200    7   6 1 0
        0.092000    7   5 2 0
        0.020000    7   4 3 0
        0.020000    7   3 4 0
        0.092000    7   2 5 0
        0.163200    7   1 6 0
        0.104000    7   0 7 0
        0.163200    7   6 0 1
        0.159200    7   5 1 1
        0.056000    7   4 2 1
        0.168000    7   3 3 1
        0.056000    7   2 4 1
        0.159200    7   1 5 1
        0.163200    7   0 6 1
        0.092000    7   5 0 2
        0.056000    7   4 1 2
        0.020000    7   3 2 2
        0.020000    7   2 3 2
        0.056000    7   1 4 2
        0.092000    7   0 5 2
        0.020000    7   4 0 3
        0.168000    7   3 1 3
        0.020000    7   2 2 3
        0.168000    7   1 3 3
        0.020000    7   0 4 3
        0.020000    7   3 0 4
        0.056000    7   2 1 4
        0.056000    7   1 2 4
        0.020000    7   0 3 4
        0.092000    7   2 0 5
        0.159200    7   1 1 5
        0.092000    7   0 2 5
        0.163200    7   1 0 6
        0.163200    7   0 1 6
        0.104000    7   0 0 7

        0.269840    8   8 0 0
        0.338240    8   7 1 0
        0.063040    8   6 2 0
        0.059520    8   5 3 0
        0.032000    8   4 4 0
        0.059520    8   3 5 0
        0.063040    8   2 6 0
        0.338240    8   1 7 0
        0.269840    8   0 8 0
        0.338240    8   7 0 1
        0.223200    8   6 1 1
        0.227600    8   5 2 1
        0.194800    8   4 3 1
        0.194800    8   3 4 1
        0.227600    8   2 5 1
        0.223200    8   1 6 1
        0.338240    8   0 7 1
        0.063040    8   6 0 2
        0.227600    8   5 1 2
        0.135200    8   4 2 2
        0.084800    8   3 3 2
        0.135200    8   2 4 2
        0.227600    8   1 5 2
        0.063040    8   0 6 2
        0.059520    8   5 0 3
        0.194800    8   4 1 3
        0.084800    8   3 2 3
        0.084800    8   2 3 3
        0.194800    8   1 4 3
        0.059520    8   0 5 3
        0.032000    8   4 0 4
        0.194800    8   3 1 4
        0.135200    8   2 2 4
        0.194800    8   1 3 4
        0.032000    8   0 4 4
        0.059520    8   3 0 5
        0.227600    8   2 1 5
        0.227600    8   1 2 5
        0.059520    8   0 3 5
        0.063040    8   2 0 6
        0.223200    8   1 1 6
        0.063040    8   0 2 6
        0.338240    8   1 0 7
        0.338240    8   0 1 7
        0.269840    8   0 0 8


NINT_EXACTNESS_TET:
  Normal end of execution.

04-Jul-2007 21:06:00
