04-Jul-2007 21:07:09

NINT_EXACTNESS_TET
  MATLAB version

  Investigate the polynomial exactness of a quadrature
  rule for the tetrahedron by integrating all monomials
  of a given degree.

  The rule will be adjusted to the unit tetrahedron.

NINT_EXACTNESS_TET: User input:
  Quadrature rule X file = "nco4_x.txt".
  Quadrature rule W file = "nco4_w.txt".
  Quadrature rule R file = "nco4_r.txt".
  Maximum total degree to check = 5
  Spatial dimension = 3
  Number of points  = 35

      Error    Degree  Exponents

        0.000000    0   0 0 0

        0.000000    1   1 0 0
        0.000000    1   0 1 0
        0.000000    1   0 0 1

        0.000000    2   2 0 0
        0.000000    2   1 1 0
        0.000000    2   0 2 0
        0.000000    2   1 0 1
        0.000000    2   0 1 1
        0.000000    2   0 0 2

        0.000000    3   3 0 0
        0.000000    3   2 1 0
        0.000000    3   1 2 0
        0.000000    3   0 3 0
        0.000000    3   2 0 1
        0.000000    3   1 1 1
        0.000000    3   0 2 1
        0.000000    3   1 0 2
        0.000000    3   0 1 2
        0.000000    3   0 0 3

        0.000000    4   4 0 0
        0.000000    4   3 1 0
        0.000000    4   2 2 0
        0.000000    4   1 3 0
        0.000000    4   0 4 0
        0.000000    4   3 0 1
        0.000000    4   2 1 1
        0.000000    4   1 2 1
        0.000000    4   0 3 1
        0.000000    4   2 0 2
        0.000000    4   1 1 2
        0.000000    4   0 2 2
        0.000000    4   1 0 3
        0.000000    4   0 1 3
        0.000000    4   0 0 4

        0.010742    5   5 0 0
        0.017904    5   4 1 0
        0.007161    5   3 2 0
        0.007161    5   2 3 0
        0.017904    5   1 4 0
        0.010742    5   0 5 0
        0.017904    5   4 0 1
        0.028646    5   3 1 1
        0.021484    5   2 2 1
        0.028646    5   1 3 1
        0.017904    5   0 4 1
        0.007161    5   3 0 2
        0.021484    5   2 1 2
        0.021484    5   1 2 2
        0.007161    5   0 3 2
        0.007161    5   2 0 3
        0.028646    5   1 1 3
        0.007161    5   0 2 3
        0.017904    5   1 0 4
        0.017904    5   0 1 4
        0.010742    5   0 0 5


NINT_EXACTNESS_TET:
  Normal end of execution.

04-Jul-2007 21:07:09
