04-Jul-2007 08:25:44

NINT_EXACTNESS_TRI
  MATLAB version

  Investigate the polynomial exactness of a quadrature
  rule for the triangle by integrating all monomials
  of a given degree.

  The rule will be adjusted to the unit triangle.

NINT_EXACTNESS_TRI: User input:
  Quadrature rule X file = "gauss4x4_x.txt".
  Quadrature rule W file = "gauss4x4_w.txt".
  Quadrature rule R file = "gauss4x4_r.txt".
  Maximum total degree to check = 9
  Spatial dimension = 2
  Number of points  = 16

      Error    Degree  Exponents

        0.000000    0   0 0

        0.000000    1   1 0
        0.000000    1   0 1

        0.000000    2   2 0
        0.000000    2   1 1
        0.000000    2   0 2

        0.000000    3   3 0
        0.000000    3   2 1
        0.000000    3   1 2
        0.000000    3   0 3

        0.000000    4   4 0
        0.000000    4   3 1
        0.000000    4   2 2
        0.000000    4   1 3
        0.000000    4   0 4

        0.000000    5   5 0
        0.000000    5   4 1
        0.000000    5   3 2
        0.000000    5   2 3
        0.000000    5   1 4
        0.000000    5   0 5

        0.000000    6   6 0
        0.000000    6   5 1
        0.000000    6   4 2
        0.000000    6   3 3
        0.000000    6   2 4
        0.000000    6   1 5
        0.000000    6   0 6

        0.000000    7   7 0
        0.000000    7   6 1
        0.000000    7   5 2
        0.000000    7   4 3
        0.000000    7   3 4
        0.000000    7   2 5
        0.000000    7   1 6
        0.000000    7   0 7

        0.000567    8   8 0
        0.002268    8   7 1
        0.005291    8   6 2
        0.007937    8   5 3
        0.007937    8   4 4
        0.005291    8   3 5
        0.002268    8   2 6
        0.000567    8   1 7
        0.000267    8   0 8

        0.002806    9   9 0
        0.009511    9   8 1
        0.017049    9   7 2
        0.015285    9   6 3
        0.000882    9   5 4
        0.013815    9   4 5
        0.016209    9   3 6
        0.009196    9   2 7
        0.002532    9   1 8
        0.001363    9   0 9


NINT_EXACTNESS_TRI:
  Normal end of execution.

04-Jul-2007 08:25:44
