04-Jul-2007 08:26:03

NINT_EXACTNESS_TRI
  MATLAB version

  Investigate the polynomial exactness of a quadrature
  rule for the triangle by integrating all monomials
  of a given degree.

  The rule will be adjusted to the unit triangle.

NINT_EXACTNESS_TRI: User input:
  Quadrature rule X file = "gauss8x8_x.txt".
  Quadrature rule W file = "gauss8x8_w.txt".
  Quadrature rule R file = "gauss8x8_r.txt".
  Maximum total degree to check = 17
  Spatial dimension = 2
  Number of points  = 64

      Error    Degree  Exponents

        0.000000    0   0 0

        0.000000    1   1 0
        0.000000    1   0 1

        0.000000    2   2 0
        0.000000    2   1 1
        0.000000    2   0 2

        0.000000    3   3 0
        0.000000    3   2 1
        0.000000    3   1 2
        0.000000    3   0 3

        0.000000    4   4 0
        0.000000    4   3 1
        0.000000    4   2 2
        0.000000    4   1 3
        0.000000    4   0 4

        0.000000    5   5 0
        0.000000    5   4 1
        0.000000    5   3 2
        0.000000    5   2 3
        0.000000    5   1 4
        0.000000    5   0 5

        0.000000    6   6 0
        0.000000    6   5 1
        0.000000    6   4 2
        0.000000    6   3 3
        0.000000    6   2 4
        0.000000    6   1 5
        0.000000    6   0 6

        0.000000    7   7 0
        0.000000    7   6 1
        0.000000    7   5 2
        0.000000    7   4 3
        0.000000    7   3 4
        0.000000    7   2 5
        0.000000    7   1 6
        0.000000    7   0 7

        0.000000    8   8 0
        0.000000    8   7 1
        0.000000    8   6 2
        0.000000    8   5 3
        0.000000    8   4 4
        0.000000    8   3 5
        0.000000    8   2 6
        0.000000    8   1 7
        0.000000    8   0 8

        0.000000    9   9 0
        0.000000    9   8 1
        0.000000    9   7 2
        0.000000    9   6 3
        0.000000    9   5 4
        0.000000    9   4 5
        0.000000    9   3 6
        0.000000    9   2 7
        0.000000    9   1 8
        0.000000    9   0 9

        0.000000   10  10 0
        0.000000   10   9 1
        0.000000   10   8 2
        0.000000   10   7 3
        0.000000   10   6 4
        0.000000   10   5 5
        0.000000   10   4 6
        0.000000   10   3 7
        0.000000   10   2 8
        0.000000   10   1 9
        0.000000   10   010

        0.000000   11  11 0
        0.000000   11  10 1
        0.000000   11   9 2
        0.000000   11   8 3
        0.000000   11   7 4
        0.000000   11   6 5
        0.000000   11   5 6
        0.000000   11   4 7
        0.000000   11   3 8
        0.000000   11   2 9
        0.000000   11   110
        0.000000   11   011

        0.000000   12  12 0
        0.000000   12  11 1
        0.000000   12  10 2
        0.000000   12   9 3
        0.000000   12   8 4
        0.000000   12   7 5
        0.000000   12   6 6
        0.000000   12   5 7
        0.000000   12   4 8
        0.000000   12   3 9
        0.000000   12   210
        0.000000   12   111
        0.000000   12   012

        0.000000   13  13 0
        0.000000   13  12 1
        0.000000   13  11 2
        0.000000   13  10 3
        0.000000   13   9 4
        0.000000   13   8 5
        0.000000   13   7 6
        0.000000   13   6 7
        0.000000   13   5 8
        0.000000   13   4 9
        0.000000   13   310
        0.000000   13   211
        0.000000   13   112
        0.000000   13   013

        0.000000   14  14 0
        0.000000   14  13 1
        0.000000   14  12 2
        0.000000   14  11 3
        0.000000   14  10 4
        0.000000   14   9 5
        0.000000   14   8 6
        0.000000   14   7 7
        0.000000   14   6 8
        0.000000   14   5 9
        0.000000   14   410
        0.000000   14   311
        0.000000   14   212
        0.000000   14   113
        0.000000   14   014

        0.000000   15  15 0
        0.000000   15  14 1
        0.000000   15  13 2
        0.000000   15  12 3
        0.000000   15  11 4
        0.000000   15  10 5
        0.000000   15   9 6
        0.000000   15   8 7
        0.000000   15   7 8
        0.000000   15   6 9
        0.000000   15   510
        0.000000   15   411
        0.000000   15   312
        0.000000   15   213
        0.000000   15   114
        0.000000   15   015

        0.000000   16  16 0
        0.000000   16  15 1
        0.000001   16  14 2
        0.000004   16  13 3
        0.000010   16  12 4
        0.000021   16  11 5
        0.000033   16  10 6
        0.000041   16   9 7
        0.000041   16   8 8
        0.000033   16   7 9
        0.000021   16   610
        0.000010   16   511
        0.000004   16   412
        0.000001   16   313
        0.000000   16   214
        0.000000   16   115
        0.000000   16   016

        0.000000   17  17 0
        0.000002   17  16 1
        0.000009   17  15 2
        0.000027   17  14 3
        0.000062   17  13 4
        0.000100   17  12 5
        0.000115   17  11 6
        0.000080   17  10 7
        0.000002   17   9 8
        0.000076   17   8 9
        0.000112   17   710
        0.000099   17   611
        0.000061   17   512
        0.000027   17   413
        0.000009   17   314
        0.000002   17   215
        0.000000   17   116
        0.000000   17   017


NINT_EXACTNESS_TRI:
  Normal end of execution.

04-Jul-2007 08:26:03
